condition,scenario,planner,k_samples,episodes,successes,success_rate,success_wilson_low,success_wilson_high,final_distance_mean,cost_mean,control_ms_mean,control_ms_p95,collision_mean
sensor_noise_high,box_align_strict,diff_mppi_3,256,30,22,0.7333333333333333,0.555520383048111,0.8581733668040368,0.2900663,3.136051,2.410171333333333,2.435931,0.0
sensor_noise_high,box_align_strict,mppi,256,30,18,0.6,0.42320360253322475,0.7540937188319815,0.30934813333333333,3.6169003333333336,0.10095039,0.1076743,0.0
sensor_noise_high,box_align_strict,soppi_fast,256,30,14,0.4666666666666667,0.30232388907699753,0.638577003801267,0.3029810333333333,3.4159599999999997,1.3048293333333334,1.3151570000000001,0.0
sensor_noise_high,box_swivel,diff_mppi_3,256,30,2,0.06666666666666667,0.018477023791270378,0.2132345836261692,0.2788588,2.3363943666666667,2.4136189999999997,2.4368075,0.0
sensor_noise_high,box_swivel,mppi,256,30,1,0.03333333333333333,0.005908590381612455,0.16670390991409173,0.29115783333333334,2.4046293333333333,0.10554395,0.1158579,0.0
sensor_noise_high,box_swivel,soppi_fast,256,30,0,0.0,0.0,0.11351339317396876,0.29013723333333336,2.329701666666667,1.300032,1.3113575000000002,0.0
sensor_noise_nominal,box_align_contact_arc,diff_mppi_3,256,30,19,0.6333333333333333,0.4551356365479487,0.7812607919389929,0.3061515,3.690131666666667,2.426661,2.460019,0.0
sensor_noise_nominal,box_align_contact_arc,mppi,256,30,19,0.6333333333333333,0.4551356365479487,0.7812607919389929,0.32649673333333334,4.271203,0.10324966666666667,0.1074919,0.0
sensor_noise_nominal,box_align_contact_arc,soppi_fast,256,30,18,0.6,0.42320360253322475,0.7540937188319815,0.3273035,4.217046,1.332206,1.3448639999999998,0.0
sensor_noise_nominal,box_align_contact_loss,diff_mppi_3,256,30,21,0.7,0.5212421254128504,0.8333525173175619,0.2724806533333333,3.459398333333333,2.4278899999999997,2.46861,0.0
sensor_noise_nominal,box_align_contact_loss,mppi,256,30,14,0.4666666666666667,0.30232388907699753,0.638577003801267,0.3219047666666667,4.908568666666667,0.1073229,0.11537149999999999,0.0
