condition,scenario,planner,baseline,k_samples,paired_episodes,success_delta,success_delta_ci_low,success_delta_ci_high,final_distance_delta,final_distance_delta_ci_low,final_distance_delta_ci_high,candidate_only_successes,baseline_only_successes,mcnemar_p,mcnemar_holm_p
hard_damping_1p25,box_align_detour,soppi_fast,mppi,128,30,0.0,0.0,0.0,0.0060395333333333415,-0.03677602749999999,0.04897156416666665,0,0,1.0,1.0
hard_damping_1p25,box_align_detour,diff_mppi_3,mppi,256,30,0.0,0.0,0.0,-0.033918933333333325,-0.05756783416666667,-0.011131364166666673,0,0,1.0,1.0
hard_damping_1p25,box_align_detour,soppi_fast,mppi,256,30,0.0,0.0,0.0,-0.023399966666666674,-0.04791380083333334,-0.0007215166666666986,0,0,1.0,1.0
hard_damping_1p25,box_align_detour,diff_mppi_3,mppi,512,30,0.0,0.0,0.0,-0.010524933333333337,-0.02952214750000002,0.007693234999999973,0,0,1.0,1.0
hard_damping_1p25,box_align_detour,soppi_fast,mppi,512,30,0.0,0.0,0.0,-0.011202876666666669,-0.05300731916666665,0.019031600833333318,0,0,1.0,1.0
hard_damping_1p25,box_align_strict,diff_mppi_3,mppi,128,30,0.3333333333333333,0.13333333333333333,0.5333333333333333,-0.0840138,-0.12576811666666668,-0.04563166333333333,11,1,0.00634765625,1.0
hard_damping_1p25,box_align_strict,soppi_fast,mppi,128,30,0.13333333333333333,-0.03333333333333333,0.3,-0.043394466666666666,-0.10151413333333331,0.011895526666666571,6,2,0.2890625,1.0
hard_damping_1p25,box_align_strict,diff_mppi_3,mppi,256,30,0.36666666666666664,0.13333333333333333,0.6,-0.06713946666666666,-0.09607804583333332,-0.037238001666666694,14,3,0.012725830078125,1.0
hard_damping_1p25,box_align_strict,soppi_fast,mppi,256,30,0.0,-0.23333333333333334,0.23333333333333334,-0.013814200000000006,-0.04050088583333334,0.012702496666666641,6,6,1.0,1.0
hard_damping_1p25,box_align_strict,diff_mppi_3,mppi,512,30,0.43333333333333335,0.26666666666666666,0.6333333333333333,-0.0741403,-0.0942014725,-0.05389509916666673,13,0,0.000244140625,0.078369140625
hard_damping_1p25,box_align_strict,soppi_fast,mppi,512,30,0.13333333333333333,-0.03333333333333333,0.3,-0.021848299999999994,-0.044617468333333334,-0.0006134199999999957,6,2,0.2890625,1.0
hard_damping_1p25,box_swivel,diff_mppi_3,mppi,128,30,0.0,0.0,0.0,0.006414766666666671,-0.0013674008333333285,0.013947222499999998,0,0,1.0,1.0
hard_damping_1p25,box_swivel,soppi_fast,mppi,128,30,-0.03333333333333333,-0.1,0.0,0.006055466666666671,-0.007954241666666664,0.017408897500000006,0,1,1.0,1.0
hard_damping_1p25,box_swivel,diff_mppi_3,mppi,256,30,0.0,0.0,0.0,0.0034079000000000006,-0.0039654299999999955,0.010561914166666667,0,0,1.0,1.0
hard_damping_1p25,box_swivel,soppi_fast,mppi,256,30,0.0,0.0,0.0,-0.0017170999999999972,-0.015616933333333333,0.011233474166666655,0,0,1.0,1.0
hard_damping_1p25,box_swivel,diff_mppi_3,mppi,512,30,0.0,0.0,0.0,0.00039510000000000006,-0.0041630775,0.004847497499999993,0,0,1.0,1.0
hard_damping_1p25,box_swivel,soppi_fast,mppi,512,30,0.0,0.0,0.0,0.0009872333333333352,-0.004475983333333334,0.006476109999999997,0,0,1.0,1.0
hard_mu_0p2,box_align_contact_arc,diff_mppi_3,mppi,128,30,0.16666666666666666,0.0,0.3333333333333333,-0.0192792,-0.03228846000000001,-0.007335343333333335,6,1,0.125,1.0
hard_mu_0p2,box_align_contact_arc,soppi_fast,mppi,128,30,0.0,-0.13333333333333333,0.13333333333333333,-0.006498099999999999,-0.01536246,0.0023330716666666654,2,2,1.0,1.0
hard_mu_0p2,box_align_contact_arc,diff_mppi_3,mppi,256,30,0.1,0.0,0.23333333333333334,-0.01040106666666667,-0.019119152500000004,-0.0038571433333333344,3,0,0.25,1.0
hard_mu_0p2,box_align_contact_arc,soppi_fast,mppi,256,30,0.03333333333333333,-0.1,0.16666666666666666,0.0003885999999999945,-0.003725197500000007,0.005593459166666665,3,2,1.0,1.0
hard_mu_0p2,box_align_contact_arc,diff_mppi_3,mppi,512,30,0.1,0.0,0.23333333333333334,-0.013336833333333334,-0.018041506666666665,-0.00898087500000001,3,0,0.25,1.0
hard_mu_0p2,box_align_contact_arc,soppi_fast,mppi,512,30,-0.03333333333333333,-0.16666666666666666,0.1,-0.004364166666666669,-0.008361680000000008,-0.0008563750000000102,2,3,1.0,1.0
hard_mu_0p2,box_align_contact_loss,diff_mppi_3,mppi,128,30,0.2,0.03333333333333333,0.36666666666666664,-0.026248376666666674,-0.04433100166666667,-0.005314442416666674,7,1,0.0703125,1.0
hard_mu_0p2,box_align_contact_loss,soppi_fast,mppi,128,30,0.13333333333333333,-0.03333333333333333,0.3333333333333333,-0.007700943333333336,-0.023948855583333338,0.011299376416666656,6,2,0.2890625,1.0
hard_mu_0p2,box_align_contact_loss,diff_mppi_3,mppi,256,30,0.16666666666666666,0.0,0.3333333333333333,-0.03083553333333334,-0.041859881666666675,-0.01986825500000001,6,1,0.125,1.0
hard_mu_0p2,box_align_contact_loss,soppi_fast,mppi,256,30,0.03333333333333333,-0.16666666666666666,0.23333333333333334,-0.0029695666666666723,-0.013883917499999999,0.007142177499999995,5,4,1.0,1.0
hard_mu_0p2,box_align_contact_loss,diff_mppi_3,mppi,512,30,0.16666666666666666,0.0,0.3333333333333333,-0.023766466666666663,-0.03945392333333333,-0.010695643333333341,6,1,0.125,1.0
hard_mu_0p2,box_align_contact_loss,soppi_fast,mppi,512,30,0.06666666666666667,-0.13333333333333333,0.26666666666666666,-0.00565,-0.012141782499999993,1.3609166666655447e-05,6,4,0.75390625,1.0
hard_mu_0p2,box_align_detour,diff_mppi_3,mppi,128,30,0.0,0.0,0.0,-0.0279528,-0.04734009666666666,-0.004647047500000051,0,0,1.0,1.0
hard_mu_0p2,box_align_detour,soppi_fast,mppi,128,30,0.0,0.0,0.0,-0.0018664000000000005,-0.021721147499999996,0.021578130833333334,0,0,1.0,1.0
hard_mu_0p2,box_align_detour,diff_mppi_3,mppi,256,30,0.0,0.0,0.0,-0.04481853333333334,-0.055535967500000005,-0.034295909166666666,0,0,1.0,1.0
hard_mu_0p2,box_align_detour,soppi_fast,mppi,256,30,0.0,0.0,0.0,-0.0205018,-0.030959451666666672,-0.009690065000000012,0,0,1.0,1.0
hard_mu_0p2,box_align_detour,diff_mppi_3,mppi,512,30,0.0,0.0,0.0,-0.058343933333333334,-0.0695077275,-0.047076469166666676,0,0,1.0,1.0
hard_mu_0p2,box_align_detour,soppi_fast,mppi,512,30,0.0,0.0,0.0,-0.02452843333333334,-0.03392300416666667,-0.014877276666666679,0,0,1.0,1.0
hard_mu_0p2,box_align_strict,diff_mppi_3,mppi,128,30,0.36666666666666664,0.2,0.5333333333333333,-0.062125166666666655,-0.11128579083333331,-0.03043095999999999,11,0,0.0009765625,0.302734375
hard_mu_0p2,box_align_strict,soppi_fast,mppi,128,30,0.13333333333333333,-0.06666666666666667,0.3333333333333333,-0.055582,-0.11913937166666666,-0.008087155833333352,7,3,0.34375,1.0
hard_mu_0p2,box_align_strict,diff_mppi_3,mppi,256,30,0.26666666666666666,0.1,0.43333333333333335,-0.030698066666666666,-0.04565911333333333,-0.017686215833333352,8,0,0.0078125,1.0
